,longitude,latitude,neigh,room_type,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable
2258,-82.552101,35.597107,B,Private room,4,2.0,2.0,922.0,1,1,5.0,True
2259,-82.552101,35.597107,B,Private room,4,2.0,2.0,507.0,1,5,5.0,True
2260,-82.58971,35.48065,F,Entire home/apt,8,3.0,6.0,164.0,3,12,4.5,True
2261,-82.57586,35.57963,A,Private room,2,1.0,1.0,94.0,3,17,4.94,True
2262,-82.60346,35.57701,A,Entire home/apt,9,3.0,6.0,330.0,5,0,,False
2263,-82.65648,35.5734,G,Entire home/apt,6,3.0,4.0,144.0,2,25,4.72,False
2264,-82.665291,35.560478,G,Entire home/apt,4,1.0,6.0,138.0,2,17,4.94,False
2265,-82.55476,35.58751,B,Entire home/apt,6,3.0,3.0,452.0,1,14,4.86,True
2266,-82.55382,35.58563,B,Entire home/apt,6,3.0,3.0,452.0,1,11,4.82,True
2267,-82.4764,35.49485,C,Entire home/apt,4,1.0,2.0,159.0,1,56,4.96,True
2268,-82.572029,35.573879,A,Entire home/apt,2,1.0,1.0,87.0,2,16,5.0,True
2269,-82.55215,35.61336,D,Entire home/apt,2,1.0,1.0,141.0,2,0,,False
2270,-82.5815,35.57724,A,Private room,5,2.0,2.0,376.0,5,0,,False
2271,-82.48233,35.61878,E,Entire home/apt,10,4.0,6.0,421.0,2,22,5.0,False
2272,-82.61132,35.573349,A,Entire home/apt,2,1.0,1.0,98.0,3,27,4.85,False
2273,-82.60635,35.50825,A,Entire home/apt,2,1.0,1.0,108.0,2,13,5.0,False
2274,-82.55303,35.59547,B,Entire home/apt,6,2.0,4.0,366.0,1,11,4.91,True
2275,-82.65295,35.56451,G,Entire home/apt,12,4.0,7.0,309.0,2,18,4.67,True
2276,-82.61183,35.60459,A,Entire home/apt,3,1.0,1.0,82.0,1,52,4.96,True
2277,-82.60509,35.62938,D,Entire home/apt,4,1.0,2.0,181.0,2,16,4.88,True
2278,-82.5036,35.47441,F,Entire home/apt,2,1.0,1.0,72.0,2,4,5.0,False
2279,-82.48665,35.60825,E,Entire home/apt,4,2.0,2.0,131.0,2,39,5.0,True
2280,-82.54701,35.59479,B,Entire home/apt,4,3.0,2.0,414.0,4,17,5.0,False
2281,-82.54251,35.59693,B,Entire home/apt,4,2.0,2.0,215.0,1,81,4.86,True
2282,-82.50662,35.46958,F,Entire home/apt,8,3.0,4.0,145.0,1,10,5.0,True
2283,-82.5081,35.46796,F,Entire home/apt,8,3.0,4.0,124.0,1,4,4.75,True
2284,-82.55182,35.5973,B,Entire home/apt,4,2.0,2.0,281.0,1,15,4.8,True
2285,-82.64788,35.55596,G,Entire home/apt,2,1.0,1.0,167.0,2,11,5.0,True
2286,-82.57109,35.56744,A,Entire home/apt,2,,1.0,130.0,1,26,4.73,False
2287,-82.5604,35.57709,B,Entire home/apt,2,1.0,1.0,120.0,30,3,5.0,False
2288,-82.5855,35.63474,D,Entire home/apt,4,2.0,2.0,331.0,3,34,5.0,True
2289,-82.60578,35.51291,A,Entire home/apt,6,2.0,2.0,115.0,1,4,5.0,True
2290,-82.59267,35.62703,D,Entire home/apt,8,3.0,6.0,252.0,2,15,4.93,True
2291,-82.5726,35.44036,F,Entire home/apt,9,4.0,6.0,199.0,2,14,5.0,True
2292,-82.51463,35.49259,C,Entire home/apt,9,3.0,6.0,277.0,2,51,4.96,False
2293,-82.57317,35.45921,F,Private room,2,1.0,1.0,58.0,1,15,4.93,False
2294,-82.53916,35.61268,D,Private room,4,2.0,2.0,95.0,1,10,4.9,False
2295,-82.58256,35.62731,D,Entire home/apt,8,3.0,4.0,228.0,2,32,4.94,True
